Jahr,Land,Schule,Klassenstufe,Klasse,Name,Team,Achtung Stromschnellen!,Armband auffädeln,Ballon-Maschine,Baumtouren,Baustein-Maschine,Bebrasien,Bergseen,Biber Jones,Biber-Mail-Adressen,Biberholz,Biberone,Bilder verschlüsseln,Blumentöpfe,Brennende Kerzen,Bälle,Der Drachen ist weg!,Der Nächste bitte!,Ein Tag im Nebel,Entdecke Seoul!,Erkundung,Frowny,Gleiche Buchstaben,Happy Birthday,Helligkeitskarte,Hin und Her,Kurierdienst,Mehltransport,Parkplätze,Pip der Pirat,Prüfbiber,Prüfungsplan,Schatzkarte,"Schere, Stein, Papier",Schwarz - Weiss,Sonnige Tage,Stammbaum,Superbebras,Um die Felsen,Umstapeln,Wortketten,Zettel-Wirtschaft,ÖV
2024,,,Schuljahre 9 und 10,PTI,ftzeu,,0.0,9.0,0.0,6.0,12.0,,,,,,,0.0,,,0.0,,6.0,,,0.0,0.0,-3.0,0.0,,,,,,0.0,,,-4.0,,,12.0,,0.0,,0.0,0.0,0.0,
2024,,,Schuljahre 9 und 10,PTI,hxdyv,,0.0,0.0,0.0,-2.0,0.0,,,,,,,0.0,,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,,,,-3.0,,,0.0,,,0.0,,-2.0,,0.0,0.0,6.0,
2024,,,Schuljahre 9 und 10,PTI,jglsk,,0.0,9.0,9.0,6.0,12.0,,,,,,,-4.0,,,12.0,,6.0,,,0.0,0.0,-3.0,6.0,,,,,,-3.0,,,-4.0,,,12.0,,-2.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,PTI,jynto,,0.0,-3.0,0.0,6.0,0.0,,,,,,,0.0,,,0.0,,6.0,,,0.0,0.0,-3.0,0.0,,,,,,0.0,,,-4.0,,,12.0,,-2.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,PTI,lxdkq,,0.0,9.0,0.0,-2.0,-4.0,,,,,,,0.0,,,0.0,,-2.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,-4.0,,,-4.0,,-2.0,,0.0,9.0,-2.0,
2024,,,Schuljahre 9 und 10,PTI,pleho,,0.0,9.0,9.0,6.0,12.0,,,,,,,0.0,,,-4.0,,6.0,,,0.0,0.0,9.0,6.0,,,,,,-3.0,,,-4.0,,,12.0,,6.0,,0.0,-3.0,-2.0,
2024,,,Schuljahre 9 und 10,PTI,qoukw,,0.0,0.0,0.0,6.0,0.0,,,,,,,0.0,,,0.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,-4.0,,,12.0,,6.0,,0.0,0.0,-2.0,
2024,,,Schuljahre 9 und 10,PTI,rfjiy,,0.0,9.0,-3.0,6.0,12.0,,,,,,,12.0,,,12.0,,6.0,,,0.0,0.0,9.0,-2.0,,,,,,9.0,,,0.0,,,-4.0,,-2.0,,0.0,-3.0,-2.0,
2024,,,Schuljahre 9 und 10,PTI,rwdlj,,0.0,9.0,0.0,-2.0,0.0,,,,,,,-4.0,,,0.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,-4.0,,,12.0,,0.0,,0.0,0.0,6.0,
2024,,,Schuljahre 9 und 10,PTI,tseqa,,0.0,0.0,0.0,-2.0,0.0,,,,,,,12.0,,,0.0,,6.0,,,0.0,0.0,-3.0,6.0,,,,,,-3.0,,,0.0,,,-4.0,,-2.0,,0.0,-3.0,-2.0,
2024,,,Schuljahre 9 und 10,PTI,udcte,,0.0,9.0,9.0,-2.0,-4.0,,,,,,,0.0,,,0.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,0.0,,,-4.0,,,12.0,,0.0,,0.0,0.0,0.0,
2024,,,Schuljahre 9 und 10,PTI,utbsa,,0.0,9.0,9.0,6.0,12.0,,,,,,,-4.0,,,-4.0,,6.0,,,0.0,0.0,-3.0,6.0,,,,,,-3.0,,,-4.0,,,12.0,,6.0,,0.0,-3.0,6.0,
2024,,,Schuljahre 9 und 10,PTI,vjsai,,0.0,9.0,9.0,6.0,12.0,,,,,,,12.0,,,0.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,0.0,,,12.0,,,12.0,,6.0,,0.0,9.0,6.0,
2024,,,Schuljahre 9 und 10,PTI,vkbed,,0.0,-3.0,0.0,-2.0,-4.0,,,,,,,0.0,,,0.0,,-2.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,-4.0,,,12.0,,-2.0,,0.0,-3.0,-2.0,
2024,,,Schuljahre 9 und 10,PTI,vmbig,,0.0,0.0,0.0,-2.0,-4.0,,,,,,,0.0,,,-4.0,,-2.0,,,0.0,0.0,-3.0,-2.0,,,,,,9.0,,,-4.0,,,-4.0,,6.0,,0.0,0.0,-2.0,
2024,,,Schuljahre 9 und 10,PTI,vujhm,,0.0,0.0,0.0,-2.0,0.0,,,,,,,0.0,,,-4.0,,6.0,,,0.0,0.0,0.0,6.0,,,,,,9.0,,,-4.0,,,12.0,,6.0,,0.0,9.0,-2.0,
2024,,,Schuljahre 9 und 10,PTI,xfvcu,,0.0,-3.0,0.0,-2.0,12.0,,,,,,,-4.0,,,0.0,,-2.0,,,0.0,0.0,9.0,-2.0,,,,,,-3.0,,,-4.0,,,12.0,,6.0,,0.0,9.0,-2.0,
2024,,,Schuljahre 9 und 10,PTI,yesbo,,0.0,9.0,-3.0,-2.0,0.0,,,,,,,0.0,,,0.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,0.0,,,0.0,,,12.0,,0.0,,0.0,9.0,6.0,
2024,,,Schuljahre 9 und 10,RPS,bycoq,,0.0,9.0,0.0,-2.0,12.0,,,,,,,0.0,,,12.0,,6.0,,,0.0,0.0,-3.0,0.0,,,,,,0.0,,,-4.0,,,12.0,,6.0,,0.0,-3.0,0.0,
2024,,,Schuljahre 9 und 10,RPS,dxhym,,0.0,9.0,9.0,6.0,12.0,,,,,,,0.0,,,0.0,,6.0,,,0.0,0.0,-3.0,-2.0,,,,,,-3.0,,,12.0,,,12.0,,6.0,,0.0,-3.0,-2.0,
