Jahr,Land,Schule,Klassenstufe,Klasse,Name,Team,Aufgabe,Punkte
2024,,,Schuljahre 9 und 10,KVZ,xicep,,Armband auffädeln,-3
2024,,,Schuljahre 9 und 10,CTP,uypbd,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,hmkyf,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,RPS,yhmjf,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,KVZ,jxmwd,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,mrlxy,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,mlyor,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,rauml,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,PTI,xfvcu,,Armband auffädeln,-3
2024,,,Schuljahre 9 und 10,PTI,udcte,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,ilbwq,,Armband auffädeln,-3
2024,,,Schuljahre 9 und 10,CTP,tgrdm,,Armband auffädeln,0
2024,,,Schuljahre 9 und 10,RPS,xadfw,,Armband auffädeln,0
2024,,,Schuljahre 9 und 10,ARJ,htfnm,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,PTI,vmbig,,Armband auffädeln,0
2024,,,Schuljahre 9 und 10,CTP,wfjki,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,vawou,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,yxuvm,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,PTI,fcgyi,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,PTI,jglsk,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,KVZ,bodta,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,tjavh,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,bczka,,Armband auffädeln,0
2024,,,Schuljahre 9 und 10,RPS,dxhym,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,RPS,kogle,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,RPS,xfbqc,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,wygzq,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,fvzbx,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,kldhy,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,pfjoq,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,haqgj,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,rozkm,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,PTI,ftzeu,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,PTI,pleho,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,qvbfl,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,zqrtx,,Armband auffädeln,0
2024,,,Schuljahre 9 und 10,KVZ,nchfi,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,elaqw,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,RPS,ljtwe,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,PTI,utbsa,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,ulkhx,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,PTI,dlyjp,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,lquyb,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,KVZ,tfnro,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,RPS,uvbcr,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,nefto,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,guqem,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,KVZ,xgbir,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,lumfg,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,kwngc,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,KVZ,lytmg,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,RPS,uchxi,,Armband auffädeln,0
2024,,,Schuljahre 9 und 10,PTI,vkbed,,Armband auffädeln,-3
2024,,,Schuljahre 9 und 10,KVZ,ozncx,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,lbdke,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,mkoxc,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,qyxro,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,qhref,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,PTI,qoukw,,Armband auffädeln,0
2024,,,Schuljahre 9 und 10,PTI,lxdkq,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,KVZ,bfuzo,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,CTP,ylepd,,Armband auffädeln,-3
2024,,,Schuljahre 9 und 10,RPS,rcnwh,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,RPS,gborf,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,KVZ,nchkl,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,ARJ,afhqp,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,KVZ,cihrx,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,RPS,qgpan,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,KVZ,oiehd,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,PTI,vujhm,,Armband auffädeln,0
2024,,,Schuljahre 9 und 10,PTI,rwdlj,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,RPS,mwpfq,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,KVZ,uwpiz,,Armband auffädeln,9
2024,,,Schuljahre 9 und 10,RPS,qmgrv,,Ballon-Maschine,-3
